Ar,Lan,Krets_id,Jaktmarksareal,Baver,Dovhjort,Falthare,Gravling,Kaja,Kricka,Notskrika,Radjur,Rodrav,Vildsvin
2011,4,448,8931,0,0,2,12,0,0,0,43,4,25
2011,4,448,2000,3,2,6,12,48,0,0,14,8,23
2011,4,448,800,0,0,1,1,0,0,0,8,1,10
2011,4,448,675,0,2,2,0,0,0,0,1,12,7
2011,4,448,400,0,1,0,0,0,0,0,10,2,6
2011,4,448,600,0,0,0,2,0,0,0,0,0,5
2011,4,448,815,0,0,0,0,0,0,0,9,10,4
2011,4,448,1787,0,0,0,2,0,0,0,2,1,4
2011,4,448,370,0,1,0,3,0,0,0,0,0,3
2011,4,448,589,0,0,0,0,0,0,0,1,1,3
2011,4,448,686,0,0,0,2,0,0,0,6,2,3
2011,4,448,754,0,0,0,2,0,0,0,0,2,3
2011,4,448,363,0,0,1,7,0,0,5,3,0,2
2011,4,448,516,0,0,1,1,0,0,2,2,0,2
2011,4,448,550,0,0,0,0,28,0,0,4,2,2
2011,4,448,450,0,2,0,1,0,0,0,2,2,1
2011,4,448,511,0,0,0,0,0,0,0,0,4,1
2011,4,448,51,0,0,0,1,0,0,0,0,1,0
2011,4,448,170,0,0,0,2,0,0,2,2,4,0
2011,4,448,200,0,0,0,0,0,0,0,0,0,0
2011,4,448,366,0,0,0,0,0,0,0,3,0,0
2011,4,448,385,0,0,0,1,0,0,0,1,0,0
2011,4,448,549,0,0,0,0,0,0,0,2,0,0
2011,4,448,696,0,0,0,0,0,0,0,10,2,0
2011,4,449,9700,11,88,21,46,110,21,1,57,89,367
2011,4,449,7030,0,51,0,22,40,0,0,22,34,151
2011,4,449,6032,0,45,8,17,237,0,0,42,37,137
2011,4,449,10462,0,6,17,34,87,2,8,45,25,104
2011,4,449,980,0,30,3,4,10,0,0,4,7,35
2011,4,449,743,0,12,0,0,0,0,0,0,2,15
2011,4,449,964,0,3,0,0,0,0,0,2,7,10
2011,4,449,1410,0,43,0,0,0,0,2,3,4,9
2011,4,449,360,0,0,0,3,0,0,0,6,12,7
2011,4,449,700,0,0,0,0,0,0,0,4,0,6
2011,4,449,200,0,8,0,0,0,0,0,0,0,5
2011,4,449,208,0,15,0,0,0,0,0,0,0,5
2011,4,449,435,0,1,2,0,0,0,0,1,3,5
2011,4,449,650,0,29,0,2,8,0,0,5,3,3
2011,4,449,116,0,1,0,0,0,0,0,3,0,0
2011,4,449,210,0,7,0,0,0,0,0,2,3,0
2011,4,450,1756,4,39,0,4,11,12,1,2,22,61
2011,4,450,2020,0,10,0,1,0,0,0,7,7,32
2011,4,450,1900,0,42,0,0,44,0,0,14,18,21
2011,4,450,264,0,24,0,0,0,0,0,4,4,12
2011,4,450,700,0,100,0,0,35,0,0,1,6,9
2011,4,450,730,0,40,0,0,0,0,0,0,2,8
2011,4,450,1211,0,7,1,5,0,0,0,14,3,8
2011,4,450,203,0,3,0,0,0,0,0,1,0,5
2011,4,450,328,0,6,0,1,0,0,0,3,1,4
2011,4,450,360,0,18,0,0,0,0,0,1,1,4
2011,4,450,90,0,3,0,0,0,0,0,1,0,3
2011,4,450,159,0,10,0,0,0,0,0,0,1,3
2011,4,450,259,0,7,1,0,5,0,0,0,0,3
2011,4,450,445,0,29,0,1,0,0,0,4,0,3
2011,4,450,507,0,21,1,7,0,0,0,2,0,3
2011,4,450,58,0,2,0,2,0,0,0,1,0,2
2011,4,450,90,0,0,0,1,0,0,0,0,1,2
2011,4,450,114,0,6,0,0,0,0,0,5,2,2
2011,4,450,165,0,11,0,1,0,0,0,0,6,2
2011,4,450,245,1,25,0,3,5,0,0,0,4,2
2011,4,450,278,0,1,0,1,0,0,0,5,1,2
2011,4,450,284,0,10,1,0,0,0,0,1,0,2
2011,4,450,391,0,17,0,0,0,0,0,3,0,2
2011,4,450,622,0,8,1,3,0,0,0,0,5,2
2011,4,450,56,0,2,2,2,0,0,7,1,2,1
2011,4,450,75,0,1,0,0,2,0,0,0,2,1
2011,4,450,200,0,9,0,0,0,0,0,3,2,1
2011,4,450,580,0,11,0,0,0,0,0,3,1,1
2011,4,450,20,0,4,0,0,0,0,0,2,0,0
2011,4,450,115,0,12,0,0,0,0,0,0,0,0
2011,4,450,336,0,2,0,0,0,0,0,3,0,0
2011,4,450,450,0,24,0,1,0,0,0,3,2,0
2011,4,450,550,0,0,0,0,0,0,0,0,0,0
